idx,tag,score,n_items,candidate_text_length
0,candidate_0000,0.0877777777777778,9,355
1,candidate_0001,0.0877777777777778,9,355
2,candidate_0002,0.2755555555555556,9,1865
3,candidate_0003,0.2755555555555556,9,1865
4,candidate_0004,0.2755555555555556,9,1865
5,candidate_0005,0.17111111111111113,9,4848
6,candidate_0006,0.2755555555555556,9,1865
7,candidate_0007,0.4077777777777778,9,4682
8,candidate_0008,0.4077777777777778,9,4682
9,candidate_0009,0.4077777777777778,9,4682
10,candidate_0010,0.4355555555555556,9,8596
11,candidate_0011,0.4355555555555556,9,8596
