idx,tag,candidate_path,score,n_items,parent_idx,accepted,reason,generation_json,monitor_json,summary_json,panel_json,revision_plan_json,forbidden_hits
0,candidate_0000,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0000.txt,0.0877777777777778,9,,True,seed,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0000.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0000.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0000.json,panel_gepa_runs/panel_gepa_run_20260508_061317/panel_feedback/candidate_0000_panel.json,panel_gepa_runs/panel_gepa_run_20260508_061317/revision_plans/candidate_0000_revision_plan.json,[]
1,candidate_0001,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0001.txt,0.23777777777777778,9,0,True,accepted: child_score=0.2378 vs parent_score=0.0878,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0001.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0001.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0001.json,panel_gepa_runs/panel_gepa_run_20260508_061317/panel_feedback/candidate_0001_panel.json,panel_gepa_runs/panel_gepa_run_20260508_061317/revision_plans/candidate_0001_revision_plan.json,[]
2,candidate_0002,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0002.txt,0.23777777777777778,9,1,False,rejected: child_score=0.2378 vs parent_score=0.2378,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0002.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0002.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0002.json,,,[]
3,candidate_0003,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0003.txt,0.2544444444444445,9,1,True,accepted: child_score=0.2544 vs parent_score=0.2378,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0003.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0003.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0003.json,panel_gepa_runs/panel_gepa_run_20260508_061317/panel_feedback/candidate_0003_panel.json,panel_gepa_runs/panel_gepa_run_20260508_061317/revision_plans/candidate_0003_revision_plan.json,['pA']
4,candidate_0004,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0004.txt,0.33111111111111113,9,3,True,accepted: child_score=0.3311 vs parent_score=0.2544,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0004.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0004.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0004.json,panel_gepa_runs/panel_gepa_run_20260508_061317/panel_feedback/candidate_0004_panel.json,panel_gepa_runs/panel_gepa_run_20260508_061317/revision_plans/candidate_0004_revision_plan.json,[]
5,candidate_0005,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0005.txt,0.2544444444444445,9,4,False,rejected: child_score=0.2544 vs parent_score=0.3311,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0005.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0005.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0005.json,,,['pA']
6,candidate_0006,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0006.txt,0.22666666666666668,9,4,False,rejected: child_score=0.2267 vs parent_score=0.3311,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0006.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0006.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0006.json,,,[]
7,candidate_0007,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0007.txt,0.2544444444444445,9,4,False,rejected: child_score=0.2544 vs parent_score=0.3311,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0007.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0007.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0007.json,,,[]
8,candidate_0008,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0008.txt,0.26555555555555554,9,4,False,rejected: child_score=0.2656 vs parent_score=0.3311,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0008.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0008.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0008.json,,,[]
9,candidate_0009,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0009.txt,0.26555555555555554,9,4,False,rejected: child_score=0.2656 vs parent_score=0.3311,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0009.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0009.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0009.json,,,[]
10,candidate_0010,panel_gepa_runs/panel_gepa_run_20260508_061317/candidates/candidate_0010.txt,0.22666666666666668,9,4,False,rejected: child_score=0.2267 vs parent_score=0.3311,panel_gepa_runs/panel_gepa_run_20260508_061317/generation/candidate_0010.json,panel_gepa_runs/panel_gepa_run_20260508_061317/monitor/candidate_0010.json,panel_gepa_runs/panel_gepa_run_20260508_061317/summaries/candidate_0010.json,,,[]
